description,color,dmc_codes,keywords,brand
Almost Auburn,#60391d,[801],"[brown,""dark brown""]",classicColorworks
Amethyst,#d49fe1,"[327,210]",[],classicColorworks
Antique Lace,#e8dfc7,[822],"[beige,tan,""light brown"",cream]",classicColorworks
Argyle Socks,#9442a7,[208],[],classicColorworks
Aunt Maries Violet,#866a76,[3041],"[violet,purple]",classicColorworks
Baby Chick,#fcf6b6,[3078],"[yellow,gold]",classicColorworks
Balsam Fir,#383a2a,[935],"[""dark green""]",classicColorworks
Bandana,#970b2c,[498],"[red,""dark red""]",classicColorworks
Barrel Cactus,#ad9564,[372],"[mustard,brown]",classicColorworks
Bean Sprout,#a78a44,[733],"[""olive green"",green]",classicColorworks
Bella Rosa,#e1a1a1,"[152,353,3354]",[],classicColorworks
Berry Bluebell,#996dc3,[340],"[purple,violet]",classicColorworks
Betty Bluebell,#4e5ca7,[798],[blue],classicColorworks
Bing Cherry,#9b0042,[777],[red],classicColorworks
Black Coffee,#000000,[310],"[black,midnight,mascara]",classicColorworks
Blue Beatrice,#393068,"[158,803]",[],classicColorworks
Blue Moon,#8178a9,"[160,793,794]",[],classicColorworks
Blushing Beauty,#d63d57,[335],"[red,rose]",classicColorworks
Boysenberry Jam,#d94c9d,[3607],"[pink,rose,plum]",classicColorworks
Bramble Bush,#532f1b,[898],"[brown,""dark brown""]",classicColorworks
Brandied Pears,#813c11,[975],"[brown,""dark brown""]",classicColorworks
Bunny Honey,#b77159,[407],"[sand,tan,brown]",classicColorworks
Calico Kitty,#813718,[400],"[mahogany,red,brown]",classicColorworks
Camouflage,#1d362a,[500],"[""blue green"",green,""dark blue green""]",classicColorworks
Candied Yams,#f78372,[352],"[coral,pink]",classicColorworks
Candy Corn,#ab1b33,[347],"[red,rose,salmon]",classicColorworks
Cappuccino,#53332d,[779],[brown],classicColorworks
Caribbean Waters,#558b9e,[807],"[blue,green,peacock]",classicColorworks
Carrie Berry,#ba2044,[309],"[red,rose,""dark red""]",classicColorworks
Cerise,#d63f68,[602],"[red,pink,cranberry]",classicColorworks
Cherry Tomato,#f2494f,[3705],"[melon,pink,red]",classicColorworks
Chili Pepper,#883630,[918],"[red,brown]",classicColorworks
Chocolate Cream Pie,#887773,[451],"[gray,grey,""dark gray"",""dark grey"",brown,chocolate]",classicColorworks
Cloud,#d4e3ef,[775],"[blue,""light blue"",""baby blue""]",classicColorworks
Cobbled Peach,#f7c9b0,[754],"[peach,pink]",classicColorworks
Cocoa Bean,#5a3c2d,[839],"[brown,beige,""dark brown""]",classicColorworks
Colonial Copper,#c0573d,[921],"[red,copper]",classicColorworks
Cool Azul,#151264,[820],"[blue,""dark blue""]",classicColorworks
Cottage Garden,#feeba5,[745],[yellow],classicColorworks
Country Lane,#e5ac8d,[950],"[sand,pink,peach]",classicColorworks
Creamy Peach,#faddb6,[951],"[peach,sand,tan]",classicColorworks
Creeping Jenny,#cdefa6,[369],"[green,""light green"",pistachio]",classicColorworks
Cupid,#a10c39,[304],[],classicColorworks
Dandelion Stem,#bb9c54,[734],"[green,gold,""olive green""]",classicColorworks
Deep Blue Sea,#667684,[931],"[blue,gray,grey]",classicColorworks
Deep Fennel,#617674,[926],"[gray,grey,green]",classicColorworks
Desert Mesquite,#725c0c,[732],"[""olive green"",green]",classicColorworks
Dulce de Leche,#f6c19a,[945],"[tan,brown]",classicColorworks
Erin Go Emerald,#285e48,[561],"[green,emerald,jade]",classicColorworks
Eves Leaves,#9eb357,[471],"[green,lime,avocado]",classicColorworks
Fancy Green Nancy,#076c34,[700],[green],classicColorworks
Fleur de Lilac,#e5bded,[211],[],classicColorworks
Fools Gold,#a6885e,[612],"[brown,""light brown""]",classicColorworks
Frozen Margarita,#608c59,[320],"[pistachio,green]",classicColorworks
Garden Trellis,#beb8ac,[3024],"[brown,tan,taupe]",classicColorworks
Ginger Snap,#c99a67,[422],"[hazelnut,brown,sand,tan]",classicColorworks
Golden Star,#fdae3c,[742],"[orange,tangerine]",classicColorworks
Goldfish,#ed625b,[351],"[coral,pink]",classicColorworks
Granny Annie,#2d2068,[791],"[blue,""dark blue""]",classicColorworks
Grape Pie,#902f99,[552],"[violet,purple]",classicColorworks
Green Onion,#959f7a,[523],"[green,""light green""]",classicColorworks
Hickory Sticks,#423014,[3031],"[brown,""dark brown""]",classicColorworks
Housewine,#7d4246,[315],"[red,""dark red"",mauve,brown]",classicColorworks
Jakey Brown,#c78559,[436],"[tan,brown,sand]",classicColorworks
Jelly Roll,#95085a,[915],"[plum,purple]",classicColorworks
Jolly Holly,#344b2e,[895],"[""green "",""dark green""]",classicColorworks
